Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
18/12/2021 08:45:00,01/11/2021,Aggregate LNG Importations - Daily Flow,39.17641,18/12/2021 11:00:00,
18/12/2021 08:45:00,02/11/2021,Aggregate LNG Importations - Daily Flow,46.98938,18/12/2021 11:00:00,
18/12/2021 08:45:00,03/11/2021,Aggregate LNG Importations - Daily Flow,39.87224,18/12/2021 11:00:00,
18/12/2021 08:45:00,04/11/2021,Aggregate LNG Importations - Daily Flow,38.454,18/12/2021 11:00:00,
18/12/2021 08:45:00,05/11/2021,Aggregate LNG Importations - Daily Flow,45.87384,18/12/2021 11:00:00,
18/12/2021 08:45:00,06/11/2021,Aggregate LNG Importations - Daily Flow,42.23865,18/12/2021 11:00:00,
18/12/2021 08:45:00,07/11/2021,Aggregate LNG Importations - Daily Flow,42.94422,18/12/2021 11:00:00,
18/12/2021 08:45:00,08/11/2021,Aggregate LNG Importations - Daily Flow,45.11109,18/12/2021 11:00:00,
18/12/2021 08:45:00,09/11/2021,Aggregate LNG Importations - Daily Flow,36.72212,18/12/2021 11:00:00,
18/12/2021 08:45:00,10/11/2021,Aggregate LNG Importations - Daily Flow,55.3494,18/12/2021 11:00:00,
18/12/2021 08:45:00,11/11/2021,Aggregate LNG Importations - Daily Flow,57.78589,18/12/2021 11:00:00,
18/12/2021 08:45:00,12/11/2021,Aggregate LNG Importations - Daily Flow,51.5187,18/12/2021 11:00:00,
18/12/2021 08:45:00,13/11/2021,Aggregate LNG Importations - Daily Flow,45.13562,18/12/2021 11:00:00,
18/12/2021 08:45:00,14/11/2021,Aggregate LNG Importations - Daily Flow,45.34024,18/12/2021 11:00:00,
18/12/2021 08:45:00,15/11/2021,Aggregate LNG Importations - Daily Flow,48.33388,18/12/2021 11:00:00,
18/12/2021 08:45:00,16/11/2021,Aggregate LNG Importations - Daily Flow,40.88535,18/12/2021 11:00:00,
18/12/2021 08:45:00,17/11/2021,Aggregate LNG Importations - Daily Flow,38.8945,18/12/2021 11:00:00,
18/12/2021 08:45:00,18/11/2021,Aggregate LNG Importations - Daily Flow,34.37714,18/12/2021 11:00:00,
18/12/2021 08:45:00,19/11/2021,Aggregate LNG Importations - Daily Flow,25.45197,18/12/2021 11:00:00,
18/12/2021 08:45:00,20/11/2021,Aggregate LNG Importations - Daily Flow,9.248,18/12/2021 11:00:00,
18/12/2021 08:45:00,21/11/2021,Aggregate LNG Importations - Daily Flow,17.0514,18/12/2021 11:00:00,
18/12/2021 08:45:00,22/11/2021,Aggregate LNG Importations - Daily Flow,72.10503,18/12/2021 11:00:00,
18/12/2021 08:45:00,23/11/2021,Aggregate LNG Importations - Daily Flow,76.42786,18/12/2021 11:00:00,
18/12/2021 08:45:00,24/11/2021,Aggregate LNG Importations - Daily Flow,55.91997,18/12/2021 11:00:00,
18/12/2021 08:45:00,25/11/2021,Aggregate LNG Importations - Daily Flow,57.33137,18/12/2021 11:00:00,
18/12/2021 08:45:00,26/11/2021,Aggregate LNG Importations - Daily Flow,45.10959,18/12/2021 11:00:00,
18/12/2021 08:45:00,27/11/2021,Aggregate LNG Importations - Daily Flow,49.27877,18/12/2021 11:00:00,
18/12/2021 08:45:00,28/11/2021,Aggregate LNG Importations - Daily Flow,56.2943,18/12/2021 11:00:00,
