Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
06/10/2020 11:30:47,11/05/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
06/10/2020 11:30:47,12/05/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
06/10/2020 11:30:47,11/05/2020,Composite Weather Variable - Cold,4.77,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,Composite Weather Variable - Cold,0.51,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,Composite Weather Variable - Normal,12.62,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,Composite Weather Variable - Normal,8.53,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,Composite Weather Variable - Warm,11.79,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,Composite Weather Variable - Warm,9.67,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,Demand - Cold,319.090024916506,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,Demand - Cold,342.712442553374,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,"Demand - Cold, (excluding interconnector and storage)",302.1156187,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,"Demand - Cold, (excluding interconnector and storage)",335.325115650909,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,Demand - Warm,211.292541533779,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,Demand - Warm,207.383167642102,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,"Demand - Warm, (excluding interconnector and storage)",194.318135317273,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,"Demand - Warm, (excluding interconnector and storage)",199.995840739636,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,"Demand, NTS, SND",263.809264207415,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,"Demand, NTS, SND",270.320144838829,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/05/2020,"Demand, NTS, SND, (excluding interconnector and storage)",246.834857990909,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/05/2020,"Demand, NTS, SND, (excluding interconnector and storage)",262.932817936364,06/10/2020 10:30:48,
01/10/2020 14:41:15,10/05/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
01/10/2020 14:41:15,10/05/2020,Composite Weather Variable - Cold,9.43,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,Composite Weather Variable - Normal,12.62,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,Composite Weather Variable - Warm,14.89,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,Demand - Cold,264.115665632244,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,"Demand - Cold, (excluding interconnector and storage)",226.223932513273,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,Demand - Warm,180.336932544607,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,"Demand - Warm, (excluding interconnector and storage)",142.445199425636,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,"Demand, NTS, SND",215.168017546244,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/05/2020,"Demand, NTS, SND, (excluding interconnector and storage)",177.276284427273,01/10/2020 13:41:15,
02/09/2020 09:54:50,08/05/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
02/09/2020 09:54:50,08/05/2020,Composite Weather Variable - Cold,14.81,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,Composite Weather Variable - Normal,15.54,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,Composite Weather Variable - Warm,15.91,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,Demand - Cold,171,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,"Demand - Cold, (excluding interconnector and storage)",131,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,Demand - Warm,154,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,"Demand - Warm, (excluding interconnector and storage)",114,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,"Demand, NTS, SND",160,02/09/2020 08:54:51,
02/09/2020 09:54:50,08/05/2020,"Demand, NTS, SND, (excluding interconnector and storage)",120,02/09/2020 08:54:51,
01/09/2020 12:57:39,09/05/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
01/09/2020 12:57:39,09/05/2020,Composite Weather Variable - Cold,13.75,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,Composite Weather Variable - Normal,15.08,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,Composite Weather Variable - Warm,15.82,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,Demand - Cold,172,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,"Demand - Cold, (excluding interconnector and storage)",134,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,Demand - Warm,141,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,"Demand - Warm, (excluding interconnector and storage)",104,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,"Demand, NTS, SND",152,01/09/2020 11:57:40,
01/09/2020 12:57:39,09/05/2020,"Demand, NTS, SND, (excluding interconnector and storage)",114,01/09/2020 11:57:40,
02/06/2020 09:45:00,31/05/2020,Aggregate LNG Importations - Daily Flow,30.3143,02/06/2020 11:00:00,
02/06/2020 09:45:00,31/05/2020,Beach and IOG - Beach Delivery,164.50157,02/06/2020 10:00:00,
02/06/2020 09:45:00,31/05/2020,Beach and IOG - Daily Flow,164.50157,02/06/2020 10:00:00,
02/06/2020 09:45:00,31/05/2020,Beach Including Norway - Daily Flow,134.18727,02/06/2020 11:00:00,
02/06/2020 09:45:00,31/05/2020,Interconnector - Daily Flow,0,02/06/2020 10:00:00,
02/06/2020 09:45:00,31/05/2020,Interconnector - Delivery,0,02/06/2020 10:00:00,
02/06/2020 09:45:00,31/05/2020,Storage - Daily Flow,3.19508,02/06/2020 10:00:00,
