Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
06/10/2020 11:30:47,11/08/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
06/10/2020 11:30:47,12/08/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
06/10/2020 11:30:47,11/08/2020,Composite Weather Variable - Cold,4.42,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,Composite Weather Variable - Cold,0.34,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,Composite Weather Variable - Normal,12.21,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,Composite Weather Variable - Normal,8.04,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,Composite Weather Variable - Warm,11.4,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,Composite Weather Variable - Warm,9.59,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,Demand - Cold,288.43087047996,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,Demand - Cold,377.098713625556,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,"Demand - Cold, (excluding interconnector and storage)",272.796464263455,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,"Demand - Cold, (excluding interconnector and storage)",369.711386723091,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,Demand - Warm,186.778436009597,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,Demand - Warm,235.101581264192,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,"Demand - Warm, (excluding interconnector and storage)",171.144029793091,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,"Demand - Warm, (excluding interconnector and storage)",227.714254361727,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,"Demand, NTS, SND",238.041554825597,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,"Demand, NTS, SND",303.106694384283,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/08/2020,"Demand, NTS, SND, (excluding interconnector and storage)",222.407148609091,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/08/2020,"Demand, NTS, SND, (excluding interconnector and storage)",295.719367481818,06/10/2020 10:30:48,
01/10/2020 14:41:15,10/08/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
01/10/2020 14:41:15,10/08/2020,Composite Weather Variable - Cold,8.84,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,Composite Weather Variable - Normal,12.21,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,Composite Weather Variable - Warm,14.76,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,Demand - Cold,272.224915547153,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,"Demand - Cold, (excluding interconnector and storage)",235.543182428182,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,Demand - Warm,181.387443678062,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,"Demand - Warm, (excluding interconnector and storage)",144.705710559091,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,"Demand, NTS, SND",220.515070918971,01/10/2020 13:41:15,
01/10/2020 14:41:15,10/08/2020,"Demand, NTS, SND, (excluding interconnector and storage)",183.8333378,01/10/2020 13:41:15,
18/09/2020 09:45:00,16/08/2020,Aggregate LNG Importations - Daily Flow,25.587,18/09/2020 11:00:00,
18/09/2020 09:45:00,17/08/2020,Aggregate LNG Importations - Daily Flow,26.4178,18/09/2020 11:00:00,
18/09/2020 09:45:00,18/08/2020,Aggregate LNG Importations - Daily Flow,25.9601,18/09/2020 11:00:00,
18/09/2020 09:45:00,19/08/2020,Aggregate LNG Importations - Daily Flow,26.1315,18/09/2020 11:00:00,
18/09/2020 09:45:00,20/08/2020,Aggregate LNG Importations - Daily Flow,25.5784,18/09/2020 11:00:00,
18/09/2020 09:45:00,21/08/2020,Aggregate LNG Importations - Daily Flow,25.6376,18/09/2020 11:00:00,
18/09/2020 09:45:00,22/08/2020,Aggregate LNG Importations - Daily Flow,25.9473,18/09/2020 11:00:00,
18/09/2020 09:45:00,23/08/2020,Aggregate LNG Importations - Daily Flow,25.9484,18/09/2020 11:00:00,
18/09/2020 09:45:00,24/08/2020,Aggregate LNG Importations - Daily Flow,27.952,18/09/2020 11:00:00,
18/09/2020 09:45:00,25/08/2020,Aggregate LNG Importations - Daily Flow,41.9991,18/09/2020 11:00:00,
18/09/2020 09:45:00,26/08/2020,Aggregate LNG Importations - Daily Flow,41.7714,18/09/2020 11:00:00,
18/09/2020 09:45:00,27/08/2020,Aggregate LNG Importations - Daily Flow,39.04697,18/09/2020 11:00:00,
18/09/2020 09:45:00,28/08/2020,Aggregate LNG Importations - Daily Flow,37.7919,18/09/2020 11:00:00,
18/09/2020 09:45:00,29/08/2020,Aggregate LNG Importations - Daily Flow,38.68804,18/09/2020 11:00:00,
18/09/2020 09:45:00,30/08/2020,Aggregate LNG Importations - Daily Flow,38.46601,18/09/2020 11:00:00,
18/09/2020 09:45:00,31/08/2020,Aggregate LNG Importations - Daily Flow,36.5448,18/09/2020 11:00:00,
18/09/2020 09:45:00,14/08/2020,Beach and IOG - Beach Delivery,27.96,18/09/2020 10:00:00,
18/09/2020 09:45:00,15/08/2020,Beach and IOG - Beach Delivery,27.96,18/09/2020 10:00:00,
18/09/2020 09:45:00,16/08/2020,Beach and IOG - Beach Delivery,161.58,18/09/2020 10:00:00,
18/09/2020 09:45:00,17/08/2020,Beach and IOG - Beach Delivery,172.79692,18/09/2020 10:00:00,
18/09/2020 09:45:00,18/08/2020,Beach and IOG - Beach Delivery,161.38051,18/09/2020 10:00:00,
18/09/2020 09:45:00,19/08/2020,Beach and IOG - Beach Delivery,146.29622,18/09/2020 10:00:00,
18/09/2020 09:45:00,20/08/2020,Beach and IOG - Beach Delivery,121.14062,18/09/2020 10:00:00,
18/09/2020 09:45:00,21/08/2020,Beach and IOG - Beach Delivery,126.39382,18/09/2020 10:00:00,
18/09/2020 09:45:00,22/08/2020,Beach and IOG - Beach Delivery,134.99123,18/09/2020 10:00:00,
18/09/2020 09:45:00,23/08/2020,Beach and IOG - Beach Delivery,140.50555,18/09/2020 10:00:00,
18/09/2020 09:45:00,24/08/2020,Beach and IOG - Beach Delivery,124.76533,18/09/2020 10:00:00,
18/09/2020 09:45:00,25/08/2020,Beach and IOG - Beach Delivery,128.39831,18/09/2020 10:00:00,
18/09/2020 09:45:00,26/08/2020,Beach and IOG - Beach Delivery,163.39612,18/09/2020 10:00:00,
