Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
17/01/2023 08:45:00,01/12/2022,Aggregate LNG Importations - Daily Flow,133.55921,17/01/2023 11:00:00,
17/01/2023 08:45:00,02/12/2022,Aggregate LNG Importations - Daily Flow,124.56577,17/01/2023 11:00:00,
17/01/2023 08:45:00,03/12/2022,Aggregate LNG Importations - Daily Flow,117.89235,17/01/2023 11:00:00,
17/01/2023 08:45:00,04/12/2022,Aggregate LNG Importations - Daily Flow,116.3502,17/01/2023 11:00:00,
17/01/2023 08:45:00,05/12/2022,Aggregate LNG Importations - Daily Flow,125.64271,17/01/2023 11:00:00,
17/01/2023 08:45:00,06/12/2022,Aggregate LNG Importations - Daily Flow,130.15509,17/01/2023 11:00:00,
17/01/2023 08:45:00,07/12/2022,Aggregate LNG Importations - Daily Flow,130.20668,17/01/2023 11:00:00,
17/01/2023 08:45:00,08/12/2022,Aggregate LNG Importations - Daily Flow,130.24044,17/01/2023 11:00:00,
17/01/2023 08:45:00,09/12/2022,Aggregate LNG Importations - Daily Flow,130.35376,17/01/2023 11:00:00,
17/01/2023 08:45:00,10/12/2022,Aggregate LNG Importations - Daily Flow,131.12088,17/01/2023 11:00:00,
17/01/2023 08:45:00,11/12/2022,Aggregate LNG Importations - Daily Flow,124.36306,17/01/2023 11:00:00,
17/01/2023 08:45:00,12/12/2022,Aggregate LNG Importations - Daily Flow,131.28367,17/01/2023 11:00:00,
17/01/2023 08:45:00,13/12/2022,Aggregate LNG Importations - Daily Flow,130.30119,17/01/2023 11:00:00,
17/01/2023 08:45:00,14/12/2022,Aggregate LNG Importations - Daily Flow,152.86004,17/01/2023 11:00:00,
17/01/2023 08:45:00,15/12/2022,Aggregate LNG Importations - Daily Flow,136.59957,17/01/2023 11:00:00,
17/01/2023 08:45:00,16/12/2022,Aggregate LNG Importations - Daily Flow,135.46255,17/01/2023 11:00:00,
17/01/2023 08:45:00,17/12/2022,Aggregate LNG Importations - Daily Flow,126.85629,17/01/2023 11:00:00,
17/01/2023 08:45:00,18/12/2022,Aggregate LNG Importations - Daily Flow,126.44392,17/01/2023 11:00:00,
