Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
06/10/2020 11:30:47,11/07/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
06/10/2020 11:30:47,12/07/2020,Composite Weather Variable - Actual,,29/03/2023 08:59:09,
06/10/2020 11:30:47,11/07/2020,Composite Weather Variable - Cold,4.57,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,Composite Weather Variable - Cold,0.39,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,Composite Weather Variable - Normal,12.35,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,Composite Weather Variable - Normal,8.21,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,Composite Weather Variable - Warm,11.51,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,Composite Weather Variable - Warm,9.61,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,Demand - Cold,291.37902210987,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,Demand - Cold,376.240370965556,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,"Demand - Cold, (excluding interconnector and storage)",275.294615893364,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,"Demand - Cold, (excluding interconnector and storage)",368.853044063091,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,Demand - Warm,188.841074723142,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,Demand - Warm,234.712530353011,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,"Demand - Warm, (excluding interconnector and storage)",172.756668506636,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,"Demand - Warm, (excluding interconnector and storage)",227.325203450545,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,"Demand, NTS, SND",240.110048416506,06/10/2020 10:30:48,
06/10/2020 11:30:47,12/07/2020,"Demand, NTS, SND",301.638927866102,06/10/2020 10:30:48,
06/10/2020 11:30:47,11/07/2020,"Demand, NTS, SND, (excluding interconnector and storage)",224.0256422,06/10/2020 10:30:48,
