Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
18/01/2025 08:45:00,01/12/2024,Aggregate LNG Importations - Daily Flow,46.43766,18/01/2025 11:00:00,
18/01/2025 08:45:00,02/12/2024,Aggregate LNG Importations - Daily Flow,63.97677,18/01/2025 11:00:00,
18/01/2025 08:45:00,03/12/2024,Aggregate LNG Importations - Daily Flow,68.15345,18/01/2025 11:00:00,
18/01/2025 08:45:00,04/12/2024,Aggregate LNG Importations - Daily Flow,67.23804,18/01/2025 11:00:00,
18/01/2025 08:45:00,05/12/2024,Aggregate LNG Importations - Daily Flow,63.87719,18/01/2025 11:00:00,
18/01/2025 08:45:00,06/12/2024,Aggregate LNG Importations - Daily Flow,57.60652,18/01/2025 11:00:00,
18/01/2025 08:45:00,07/12/2024,Aggregate LNG Importations - Daily Flow,49.89409,18/01/2025 11:00:00,
18/01/2025 08:45:00,08/12/2024,Aggregate LNG Importations - Daily Flow,56.67218,18/01/2025 11:00:00,
18/01/2025 08:45:00,09/12/2024,Aggregate LNG Importations - Daily Flow,96.76264,18/01/2025 11:00:00,
18/01/2025 08:45:00,10/12/2024,Aggregate LNG Importations - Daily Flow,100.93051,18/01/2025 11:00:00,
18/01/2025 08:45:00,11/12/2024,Aggregate LNG Importations - Daily Flow,100.16191,18/01/2025 11:00:00,
18/01/2025 08:45:00,12/12/2024,Aggregate LNG Importations - Daily Flow,101.58452,18/01/2025 11:00:00,
18/01/2025 08:45:00,13/12/2024,Aggregate LNG Importations - Daily Flow,99.46558,18/01/2025 11:00:00,
18/01/2025 08:45:00,14/12/2024,Aggregate LNG Importations - Daily Flow,78.74664,18/01/2025 11:00:00,
18/01/2025 08:45:00,15/12/2024,Aggregate LNG Importations - Daily Flow,74.80756,18/01/2025 11:00:00,
18/01/2025 08:45:00,16/12/2024,Aggregate LNG Importations - Daily Flow,54.16494,18/01/2025 11:00:00,
18/01/2025 08:45:00,17/12/2024,Aggregate LNG Importations - Daily Flow,52.06956,18/01/2025 11:00:00,
18/01/2025 08:45:00,18/12/2024,Aggregate LNG Importations - Daily Flow,51.16981,18/01/2025 11:00:00,
18/01/2025 08:45:00,19/12/2024,Aggregate LNG Importations - Daily Flow,49.56797,18/01/2025 11:00:00,
18/01/2025 08:45:00,20/12/2024,Aggregate LNG Importations - Daily Flow,53.30179,18/01/2025 11:00:00,
18/01/2025 08:45:00,21/12/2024,Aggregate LNG Importations - Daily Flow,48.2204,18/01/2025 11:00:00,
18/01/2025 08:45:00,22/12/2024,Aggregate LNG Importations - Daily Flow,49.06772,18/01/2025 11:00:00,
18/01/2025 08:45:00,23/12/2024,Aggregate LNG Importations - Daily Flow,38.60005,18/01/2025 11:00:00,
