Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
16/01/2024 08:45:00,01/12/2023,Aggregate LNG Importations - Daily Flow,107.48327,16/01/2024 11:00:00,
16/01/2024 08:45:00,02/12/2023,Aggregate LNG Importations - Daily Flow,107.84708,16/01/2024 11:00:00,
16/01/2024 08:45:00,03/12/2023,Aggregate LNG Importations - Daily Flow,101.76844,16/01/2024 11:00:00,
16/01/2024 08:45:00,04/12/2023,Aggregate LNG Importations - Daily Flow,94.41446,16/01/2024 11:00:00,
16/01/2024 08:45:00,05/12/2023,Aggregate LNG Importations - Daily Flow,102.12069,16/01/2024 11:00:00,
16/01/2024 08:45:00,06/12/2023,Aggregate LNG Importations - Daily Flow,106.97175,16/01/2024 11:00:00,
16/01/2024 08:45:00,07/12/2023,Aggregate LNG Importations - Daily Flow,77.19825,16/01/2024 11:00:00,
16/01/2024 08:45:00,08/12/2023,Aggregate LNG Importations - Daily Flow,66.99635,16/01/2024 11:00:00,
16/01/2024 08:45:00,09/12/2023,Aggregate LNG Importations - Daily Flow,21.66648,16/01/2024 11:00:00,
16/01/2024 08:45:00,10/12/2023,Aggregate LNG Importations - Daily Flow,21.63816,16/01/2024 11:00:00,
16/01/2024 08:45:00,11/12/2023,Aggregate LNG Importations - Daily Flow,53.17941,16/01/2024 11:00:00,
16/01/2024 08:45:00,12/12/2023,Aggregate LNG Importations - Daily Flow,46.28908,16/01/2024 11:00:00,
16/01/2024 08:45:00,13/12/2023,Aggregate LNG Importations - Daily Flow,75.37051,16/01/2024 11:00:00,
16/01/2024 08:45:00,14/12/2023,Aggregate LNG Importations - Daily Flow,79.31234,16/01/2024 11:00:00,
16/01/2024 08:45:00,15/12/2023,Aggregate LNG Importations - Daily Flow,73.87777,16/01/2024 11:00:00,
16/01/2024 08:45:00,16/12/2023,Aggregate LNG Importations - Daily Flow,58.37579,16/01/2024 11:00:00,
16/01/2024 08:45:00,17/12/2023,Aggregate LNG Importations - Daily Flow,59.68373,16/01/2024 11:00:00,
16/01/2024 08:45:00,18/12/2023,Aggregate LNG Importations - Daily Flow,75.25243,16/01/2024 11:00:00,
16/01/2024 08:45:00,19/12/2023,Aggregate LNG Importations - Daily Flow,79.43035,16/01/2024 11:00:00,
16/01/2024 08:45:00,20/12/2023,Aggregate LNG Importations - Daily Flow,51.58029,16/01/2024 11:00:00,
16/01/2024 08:45:00,21/12/2023,Aggregate LNG Importations - Daily Flow,64.19982,16/01/2024 11:00:00,
16/01/2024 08:45:00,22/12/2023,Aggregate LNG Importations - Daily Flow,53.52821,16/01/2024 11:00:00,
16/01/2024 08:45:00,23/12/2023,Aggregate LNG Importations - Daily Flow,45.64705,16/01/2024 11:00:00,
16/01/2024 08:45:00,24/12/2023,Aggregate LNG Importations - Daily Flow,38.25608,16/01/2024 11:00:00,
16/01/2024 08:45:00,25/12/2023,Aggregate LNG Importations - Daily Flow,31.71005,16/01/2024 11:00:00,
16/01/2024 08:45:00,26/12/2023,Aggregate LNG Importations - Daily Flow,36.1641,16/01/2024 11:00:00,
16/01/2024 08:45:00,27/12/2023,Aggregate LNG Importations - Daily Flow,38.87729,16/01/2024 11:00:00,
16/01/2024 08:45:00,28/12/2023,Aggregate LNG Importations - Daily Flow,46.2374,16/01/2024 11:00:00,
16/01/2024 08:45:00,29/12/2023,Aggregate LNG Importations - Daily Flow,45.28841,16/01/2024 11:00:00,
16/01/2024 08:45:00,30/12/2023,Aggregate LNG Importations - Daily Flow,23.75024,16/01/2024 11:00:00,
16/01/2024 08:45:00,31/12/2023,Aggregate LNG Importations - Daily Flow,27.29089,16/01/2024 11:00:00,
16/01/2024 08:45:00,01/12/2023,Beach and IOG - Beach Delivery,299.04941,16/01/2024 10:00:00,
16/01/2024 08:45:00,02/12/2023,Beach and IOG - Beach Delivery,300.88947,16/01/2024 10:00:00,
16/01/2024 08:45:00,03/12/2023,Beach and IOG - Beach Delivery,298.01327,16/01/2024 10:00:00,
16/01/2024 08:45:00,04/12/2023,Beach and IOG - Beach Delivery,290.01748,16/01/2024 10:00:00,
16/01/2024 08:45:00,05/12/2023,Beach and IOG - Beach Delivery,297.5153,16/01/2024 10:00:00,
16/01/2024 08:45:00,06/12/2023,Beach and IOG - Beach Delivery,301.6781,16/01/2024 10:00:00,
16/01/2024 08:45:00,07/12/2023,Beach and IOG - Beach Delivery,272.89501,16/01/2024 10:00:00,
16/01/2024 08:45:00,08/12/2023,Beach and IOG - Beach Delivery,260.92538,16/01/2024 10:00:00,
16/01/2024 08:45:00,09/12/2023,Beach and IOG - Beach Delivery,216.6563,16/01/2024 10:00:00,
16/01/2024 08:45:00,10/12/2023,Beach and IOG - Beach Delivery,215.20867,16/01/2024 10:00:00,
16/01/2024 08:45:00,11/12/2023,Beach and IOG - Beach Delivery,250.28719,16/01/2024 10:00:00,
16/01/2024 08:45:00,12/12/2023,Beach and IOG - Beach Delivery,243.6293,16/01/2024 10:00:00,
16/01/2024 08:45:00,13/12/2023,Beach and IOG - Beach Delivery,273.15055,16/01/2024 10:00:00,
16/01/2024 08:45:00,14/12/2023,Beach and IOG - Beach Delivery,272.46417,16/01/2024 10:00:00,
16/01/2024 08:45:00,15/12/2023,Beach and IOG - Beach Delivery,265.73316,16/01/2024 10:00:00,
16/01/2024 08:45:00,16/12/2023,Beach and IOG - Beach Delivery,249.38378,16/01/2024 10:00:00,
16/01/2024 08:45:00,17/12/2023,Beach and IOG - Beach Delivery,238.25038,16/01/2024 10:00:00,
16/01/2024 08:45:00,18/12/2023,Beach and IOG - Beach Delivery,258.93423,16/01/2024 10:00:00,
16/01/2024 08:45:00,19/12/2023,Beach and IOG - Beach Delivery,266.91148,16/01/2024 10:00:00,
16/01/2024 08:45:00,20/12/2023,Beach and IOG - Beach Delivery,234.93467,16/01/2024 10:00:00,
16/01/2024 08:45:00,21/12/2023,Beach and IOG - Beach Delivery,247.15723,16/01/2024 10:00:00,
16/01/2024 08:45:00,22/12/2023,Beach and IOG - Beach Delivery,236.15859,16/01/2024 10:00:00,
16/01/2024 08:45:00,23/12/2023,Beach and IOG - Beach Delivery,222.03844,16/01/2024 10:00:00,
16/01/2024 08:45:00,24/12/2023,Beach and IOG - Beach Delivery,219.59423,16/01/2024 10:00:00,
16/01/2024 08:45:00,25/12/2023,Beach and IOG - Beach Delivery,214.32241,16/01/2024 10:00:00,
16/01/2024 08:45:00,26/12/2023,Beach and IOG - Beach Delivery,220.79386,16/01/2024 10:00:00,
16/01/2024 08:45:00,27/12/2023,Beach and IOG - Beach Delivery,221.24511,16/01/2024 10:00:00,
16/01/2024 08:45:00,28/12/2023,Beach and IOG - Beach Delivery,223.45924,16/01/2024 10:00:00,
16/01/2024 08:45:00,29/12/2023,Beach and IOG - Beach Delivery,231.52748,16/01/2024 10:00:00,
16/01/2024 08:45:00,30/12/2023,Beach and IOG - Beach Delivery,209.38887,16/01/2024 10:00:00,
16/01/2024 08:45:00,31/12/2023,Beach and IOG - Beach Delivery,214.30341,16/01/2024 10:00:00,
16/01/2024 08:45:00,01/12/2023,Beach and IOG - Daily Flow,299.39381,16/01/2024 10:00:00,
16/01/2024 08:45:00,02/12/2023,Beach and IOG - Daily Flow,301.07847,16/01/2024 10:00:00,
16/01/2024 08:45:00,03/12/2023,Beach and IOG - Daily Flow,298.31357,16/01/2024 10:00:00,
16/01/2024 08:45:00,04/12/2023,Beach and IOG - Daily Flow,290.82498,16/01/2024 10:00:00,
16/01/2024 08:45:00,05/12/2023,Beach and IOG - Daily Flow,297.5153,16/01/2024 10:00:00,
16/01/2024 08:45:00,06/12/2023,Beach and IOG - Daily Flow,302.2904,16/01/2024 10:00:00,
16/01/2024 08:45:00,07/12/2023,Beach and IOG - Daily Flow,273.48761,16/01/2024 10:00:00,
16/01/2024 08:45:00,08/12/2023,Beach and IOG - Daily Flow,261.60758,16/01/2024 10:00:00,
16/01/2024 08:45:00,09/12/2023,Beach and IOG - Daily Flow,218.4164,16/01/2024 10:00:00,
16/01/2024 08:45:00,10/12/2023,Beach and IOG - Daily Flow,216.76857,16/01/2024 10:00:00,
16/01/2024 08:45:00,11/12/2023,Beach and IOG - Daily Flow,250.54949,16/01/2024 10:00:00,
16/01/2024 08:45:00,12/12/2023,Beach and IOG - Daily Flow,243.6293,16/01/2024 10:00:00,
16/01/2024 08:45:00,13/12/2023,Beach and IOG - Daily Flow,273.15055,16/01/2024 10:00:00,
16/01/2024 08:45:00,14/12/2023,Beach and IOG - Daily Flow,272.46417,16/01/2024 10:00:00,
16/01/2024 08:45:00,15/12/2023,Beach and IOG - Daily Flow,265.73316,16/01/2024 10:00:00,
16/01/2024 08:45:00,16/12/2023,Beach and IOG - Daily Flow,249.38378,16/01/2024 10:00:00,
16/01/2024 08:45:00,17/12/2023,Beach and IOG - Daily Flow,238.25038,16/01/2024 10:00:00,
16/01/2024 08:45:00,18/12/2023,Beach and IOG - Daily Flow,258.93423,16/01/2024 10:00:00,
16/01/2024 08:45:00,19/12/2023,Beach and IOG - Daily Flow,266.91148,16/01/2024 10:00:00,
16/01/2024 08:45:00,20/12/2023,Beach and IOG - Daily Flow,234.93467,16/01/2024 10:00:00,
16/01/2024 08:45:00,21/12/2023,Beach and IOG - Daily Flow,247.74273,16/01/2024 10:00:00,
16/01/2024 08:45:00,22/12/2023,Beach and IOG - Daily Flow,237.66429,16/01/2024 10:00:00,
16/01/2024 08:45:00,23/12/2023,Beach and IOG - Daily Flow,222.03844,16/01/2024 10:00:00,
16/01/2024 08:45:00,24/12/2023,Beach and IOG - Daily Flow,220.38253,16/01/2024 10:00:00,
16/01/2024 08:45:00,25/12/2023,Beach and IOG - Daily Flow,214.32241,16/01/2024 10:00:00,
16/01/2024 08:45:00,26/12/2023,Beach and IOG - Daily Flow,220.79386,16/01/2024 10:00:00,
16/01/2024 08:45:00,27/12/2023,Beach and IOG - Daily Flow,221.24511,16/01/2024 10:00:00,
16/01/2024 08:45:00,28/12/2023,Beach and IOG - Daily Flow,223.45924,16/01/2024 10:00:00,
16/01/2024 08:45:00,29/12/2023,Beach and IOG - Daily Flow,231.52748,16/01/2024 10:00:00,
16/01/2024 08:45:00,30/12/2023,Beach and IOG - Daily Flow,209.38887,16/01/2024 10:00:00,
16/01/2024 08:45:00,31/12/2023,Beach and IOG - Daily Flow,214.30341,16/01/2024 10:00:00,
16/01/2024 08:45:00,01/12/2023,Beach Including Norway - Daily Flow,194.59884,16/01/2024 11:00:00,
16/01/2024 08:45:00,02/12/2023,Beach Including Norway - Daily Flow,195.05099,16/01/2024 11:00:00,
16/01/2024 08:45:00,03/12/2023,Beach Including Norway - Daily Flow,198.43423,16/01/2024 11:00:00,
16/01/2024 08:45:00,04/12/2023,Beach Including Norway - Daily Flow,200.65722,16/01/2024 11:00:00,
16/01/2024 08:45:00,05/12/2023,Beach Including Norway - Daily Flow,198.43251,16/01/2024 11:00:00,
16/01/2024 08:45:00,06/12/2023,Beach Including Norway - Daily Flow,197.72905,16/01/2024 11:00:00,
16/01/2024 08:45:00,07/12/2023,Beach Including Norway - Daily Flow,198.48126,16/01/2024 11:00:00,
16/01/2024 08:45:00,08/12/2023,Beach Including Norway - Daily Flow,198.55033,16/01/2024 11:00:00,
16/01/2024 08:45:00,09/12/2023,Beach Including Norway - Daily Flow,199.43202,16/01/2024 11:00:00,
16/01/2024 08:45:00,10/12/2023,Beach Including Norway - Daily Flow,197.79121,16/01/2024 11:00:00,
16/01/2024 08:45:00,11/12/2023,Beach Including Norway - Daily Flow,202.54248,16/01/2024 11:00:00,
16/01/2024 08:45:00,12/12/2023,Beach Including Norway - Daily Flow,202.83162,16/01/2024 11:00:00,
16/01/2024 08:45:00,13/12/2023,Beach Including Norway - Daily Flow,203.38424,16/01/2024 11:00:00,
16/01/2024 08:45:00,14/12/2023,Beach Including Norway - Daily Flow,197.94253,16/01/2024 11:00:00,
16/01/2024 08:45:00,15/12/2023,Beach Including Norway - Daily Flow,195.79019,16/01/2024 11:00:00,
16/01/2024 08:45:00,16/12/2023,Beach Including Norway - Daily Flow,196.54099,16/01/2024 11:00:00,
16/01/2024 08:45:00,17/12/2023,Beach Including Norway - Daily Flow,184.08015,16/01/2024 11:00:00,
16/01/2024 08:45:00,18/12/2023,Beach Including Norway - Daily Flow,187.4237,16/01/2024 11:00:00,
16/01/2024 08:45:00,19/12/2023,Beach Including Norway - Daily Flow,187.48113,16/01/2024 11:00:00,
16/01/2024 08:45:00,20/12/2023,Beach Including Norway - Daily Flow,186.30848,16/01/2024 11:00:00,
16/01/2024 08:45:00,21/12/2023,Beach Including Norway - Daily Flow,188.64281,16/01/2024 11:00:00,
16/01/2024 08:45:00,22/12/2023,Beach Including Norway - Daily Flow,188.32448,16/01/2024 11:00:00,
16/01/2024 08:45:00,23/12/2023,Beach Including Norway - Daily Flow,182.04689,16/01/2024 11:00:00,
16/01/2024 08:45:00,24/12/2023,Beach Including Norway - Daily Flow,187.02565,16/01/2024 11:00:00,
16/01/2024 08:45:00,25/12/2023,Beach Including Norway - Daily Flow,188.13906,16/01/2024 11:00:00,
16/01/2024 08:45:00,26/12/2023,Beach Including Norway - Daily Flow,190.12976,16/01/2024 11:00:00,
16/01/2024 08:45:00,27/12/2023,Beach Including Norway - Daily Flow,187.88822,16/01/2024 11:00:00,
16/01/2024 08:45:00,28/12/2023,Beach Including Norway - Daily Flow,182.73424,16/01/2024 11:00:00,
16/01/2024 08:45:00,29/12/2023,Beach Including Norway - Daily Flow,191.76507,16/01/2024 11:00:00,
16/01/2024 08:45:00,30/12/2023,Beach Including Norway - Daily Flow,191.16993,16/01/2024 11:00:00,
16/01/2024 08:45:00,31/12/2023,Beach Including Norway - Daily Flow,192.53002,16/01/2024 11:00:00,
16/01/2024 08:45:00,01/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,02/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,03/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,04/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,05/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,06/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,07/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,08/12/2023,Interconnector - Daily Flow,.49707,16/01/2024 10:00:00,
16/01/2024 08:45:00,09/12/2023,Interconnector - Daily Flow,.23185,16/01/2024 10:00:00,
16/01/2024 08:45:00,10/12/2023,Interconnector - Daily Flow,.38437,16/01/2024 10:00:00,
16/01/2024 08:45:00,11/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,12/12/2023,Interconnector - Daily Flow,.58842,16/01/2024 10:00:00,
16/01/2024 08:45:00,13/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,14/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,15/12/2023,Interconnector - Daily Flow,2.72698,16/01/2024 10:00:00,
16/01/2024 08:45:00,16/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,17/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,18/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,19/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,20/12/2023,Interconnector - Daily Flow,1.17887,16/01/2024 10:00:00,
16/01/2024 08:45:00,21/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,22/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,23/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,24/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,25/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,26/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,27/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,28/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,29/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,30/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,31/12/2023,Interconnector - Daily Flow,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,01/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,02/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,03/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,04/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,05/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,06/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,07/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,08/12/2023,Interconnector - Delivery,.49707,16/01/2024 10:00:00,
16/01/2024 08:45:00,09/12/2023,Interconnector - Delivery,.23185,16/01/2024 10:00:00,
16/01/2024 08:45:00,10/12/2023,Interconnector - Delivery,.38437,16/01/2024 10:00:00,
16/01/2024 08:45:00,11/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,12/12/2023,Interconnector - Delivery,.58842,16/01/2024 10:00:00,
16/01/2024 08:45:00,13/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,14/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,15/12/2023,Interconnector - Delivery,2.72698,16/01/2024 10:00:00,
16/01/2024 08:45:00,16/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,17/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,18/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,19/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,20/12/2023,Interconnector - Delivery,1.17887,16/01/2024 10:00:00,
16/01/2024 08:45:00,21/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,22/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,23/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,24/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,25/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,26/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,27/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,28/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,29/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,30/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,31/12/2023,Interconnector - Delivery,.13671,16/01/2024 10:00:00,
16/01/2024 08:45:00,01/12/2023,Storage - Daily Flow,76.45539,16/01/2024 10:00:00,
16/01/2024 08:45:00,02/12/2023,Storage - Daily Flow,60.46122,16/01/2024 10:00:00,
16/01/2024 08:45:00,03/12/2023,Storage - Daily Flow,20.28447,16/01/2024 10:00:00,
16/01/2024 08:45:00,04/12/2023,Storage - Daily Flow,19.06534,16/01/2024 10:00:00,
16/01/2024 08:45:00,05/12/2023,Storage - Daily Flow,32.34092,16/01/2024 10:00:00,
16/01/2024 08:45:00,06/12/2023,Storage - Daily Flow,35.65544,16/01/2024 10:00:00,
16/01/2024 08:45:00,07/12/2023,Storage - Daily Flow,21.92618,16/01/2024 10:00:00,
16/01/2024 08:45:00,08/12/2023,Storage - Daily Flow,9.15569,16/01/2024 10:00:00,
16/01/2024 08:45:00,09/12/2023,Storage - Daily Flow,2.78825,16/01/2024 10:00:00,
16/01/2024 08:45:00,10/12/2023,Storage - Daily Flow,5.90019,16/01/2024 10:00:00,
16/01/2024 08:45:00,11/12/2023,Storage - Daily Flow,11.59709,16/01/2024 10:00:00,
16/01/2024 08:45:00,12/12/2023,Storage - Daily Flow,19.88049,16/01/2024 10:00:00,
16/01/2024 08:45:00,13/12/2023,Storage - Daily Flow,11.63759,16/01/2024 10:00:00,
16/01/2024 08:45:00,14/12/2023,Storage - Daily Flow,36.08895,16/01/2024 10:00:00,
16/01/2024 08:45:00,15/12/2023,Storage - Daily Flow,8.95926,16/01/2024 10:00:00,
16/01/2024 08:45:00,16/12/2023,Storage - Daily Flow,1.48994,16/01/2024 10:00:00,
16/01/2024 08:45:00,17/12/2023,Storage - Daily Flow,1.44788,16/01/2024 10:00:00,
16/01/2024 08:45:00,18/12/2023,Storage - Daily Flow,1.37636,16/01/2024 10:00:00,
16/01/2024 08:45:00,19/12/2023,Storage - Daily Flow,4.91813,16/01/2024 10:00:00,
16/01/2024 08:45:00,20/12/2023,Storage - Daily Flow,7.98885,16/01/2024 10:00:00,
16/01/2024 08:45:00,21/12/2023,Storage - Daily Flow,6.43272,16/01/2024 10:00:00,
16/01/2024 08:45:00,22/12/2023,Storage - Daily Flow,6.19754,16/01/2024 10:00:00,
16/01/2024 08:45:00,23/12/2023,Storage - Daily Flow,1.80599,16/01/2024 10:00:00,
16/01/2024 08:45:00,24/12/2023,Storage - Daily Flow,1.26034,16/01/2024 10:00:00,
