Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
18/11/2024 08:45:00,01/10/2024,Aggregate LNG Importations - Daily Flow,29.7213,18/11/2024 11:00:00,
18/11/2024 08:45:00,02/10/2024,Aggregate LNG Importations - Daily Flow,30.24948,18/11/2024 11:00:00,
18/11/2024 08:45:00,03/10/2024,Aggregate LNG Importations - Daily Flow,30.10437,18/11/2024 11:00:00,
18/11/2024 08:45:00,04/10/2024,Aggregate LNG Importations - Daily Flow,30.0917,18/11/2024 11:00:00,
18/11/2024 08:45:00,05/10/2024,Aggregate LNG Importations - Daily Flow,14.5164,18/11/2024 11:00:00,
18/11/2024 08:45:00,06/10/2024,Aggregate LNG Importations - Daily Flow,12.524,18/11/2024 11:00:00,
18/11/2024 08:45:00,07/10/2024,Aggregate LNG Importations - Daily Flow,12.3797,18/11/2024 11:00:00,
18/11/2024 08:45:00,08/10/2024,Aggregate LNG Importations - Daily Flow,9.067,18/11/2024 11:00:00,
18/11/2024 08:45:00,09/10/2024,Aggregate LNG Importations - Daily Flow,8.9668,18/11/2024 11:00:00,
18/11/2024 08:45:00,10/10/2024,Aggregate LNG Importations - Daily Flow,8.8739,18/11/2024 11:00:00,
18/11/2024 08:45:00,11/10/2024,Aggregate LNG Importations - Daily Flow,8.893,18/11/2024 11:00:00,
18/11/2024 08:45:00,12/10/2024,Aggregate LNG Importations - Daily Flow,21.3651,18/11/2024 11:00:00,
18/11/2024 08:45:00,13/10/2024,Aggregate LNG Importations - Daily Flow,21.3664,18/11/2024 11:00:00,
18/11/2024 08:45:00,14/10/2024,Aggregate LNG Importations - Daily Flow,35.1304,18/11/2024 11:00:00,
18/11/2024 08:45:00,15/10/2024,Aggregate LNG Importations - Daily Flow,7.55693,18/11/2024 11:00:00,
18/11/2024 08:45:00,16/10/2024,Aggregate LNG Importations - Daily Flow,10.81945,18/11/2024 11:00:00,
18/11/2024 08:45:00,17/10/2024,Aggregate LNG Importations - Daily Flow,8.83376,18/11/2024 11:00:00,
18/11/2024 08:45:00,18/10/2024,Aggregate LNG Importations - Daily Flow,8.79808,18/11/2024 11:00:00,
