Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
18/05/2024 09:45:00,01/04/2024,Aggregate LNG Importations - Daily Flow,7.3714,18/05/2024 11:00:00,
18/05/2024 09:45:00,02/04/2024,Aggregate LNG Importations - Daily Flow,8.51758,18/05/2024 11:00:00,
18/05/2024 09:45:00,03/04/2024,Aggregate LNG Importations - Daily Flow,7.3714,18/05/2024 11:00:00,
18/05/2024 09:45:00,04/04/2024,Aggregate LNG Importations - Daily Flow,7.9297,18/05/2024 11:00:00,
18/05/2024 09:45:00,05/04/2024,Aggregate LNG Importations - Daily Flow,7.3685,18/05/2024 11:00:00,
18/05/2024 09:45:00,06/04/2024,Aggregate LNG Importations - Daily Flow,7.3563,18/05/2024 11:00:00,
18/05/2024 09:45:00,07/04/2024,Aggregate LNG Importations - Daily Flow,7.3543,18/05/2024 11:00:00,
18/05/2024 09:45:00,08/04/2024,Aggregate LNG Importations - Daily Flow,10.9763,18/05/2024 11:00:00,
18/05/2024 09:45:00,09/04/2024,Aggregate LNG Importations - Daily Flow,23.48235,18/05/2024 11:00:00,
18/05/2024 09:45:00,10/04/2024,Aggregate LNG Importations - Daily Flow,20.4018,18/05/2024 11:00:00,
18/05/2024 09:45:00,11/04/2024,Aggregate LNG Importations - Daily Flow,12.7917,18/05/2024 11:00:00,
18/05/2024 09:45:00,12/04/2024,Aggregate LNG Importations - Daily Flow,19.5877,18/05/2024 11:00:00,
18/05/2024 09:45:00,13/04/2024,Aggregate LNG Importations - Daily Flow,20.6396,18/05/2024 11:00:00,
18/05/2024 09:45:00,14/04/2024,Aggregate LNG Importations - Daily Flow,18.4537,18/05/2024 11:00:00,
18/05/2024 09:45:00,15/04/2024,Aggregate LNG Importations - Daily Flow,27.18892,18/05/2024 11:00:00,
18/05/2024 09:45:00,16/04/2024,Aggregate LNG Importations - Daily Flow,26.53652,18/05/2024 11:00:00,
18/05/2024 09:45:00,17/04/2024,Aggregate LNG Importations - Daily Flow,21.07246,18/05/2024 11:00:00,
18/05/2024 09:45:00,18/04/2024,Aggregate LNG Importations - Daily Flow,14.7605,18/05/2024 11:00:00,
18/05/2024 09:45:00,19/04/2024,Aggregate LNG Importations - Daily Flow,13.9356,18/05/2024 11:00:00,
18/05/2024 09:45:00,20/04/2024,Aggregate LNG Importations - Daily Flow,14.1231,18/05/2024 11:00:00,
18/05/2024 09:45:00,21/04/2024,Aggregate LNG Importations - Daily Flow,15.8052,18/05/2024 11:00:00,
18/05/2024 09:45:00,22/04/2024,Aggregate LNG Importations - Daily Flow,10.2626,18/05/2024 11:00:00,
18/05/2024 09:45:00,23/04/2024,Aggregate LNG Importations - Daily Flow,9.8211,18/05/2024 11:00:00,
18/05/2024 09:45:00,24/04/2024,Aggregate LNG Importations - Daily Flow,9.812,18/05/2024 11:00:00,
18/05/2024 09:45:00,25/04/2024,Aggregate LNG Importations - Daily Flow,22.2219,18/05/2024 11:00:00,
18/05/2024 09:45:00,26/04/2024,Aggregate LNG Importations - Daily Flow,20.939,18/05/2024 11:00:00,
18/05/2024 09:45:00,27/04/2024,Aggregate LNG Importations - Daily Flow,16.66764,18/05/2024 11:00:00,
18/05/2024 09:45:00,28/04/2024,Aggregate LNG Importations - Daily Flow,16.9026,18/05/2024 11:00:00,
18/05/2024 09:45:00,29/04/2024,Aggregate LNG Importations - Daily Flow,9.05574,18/05/2024 11:00:00,
18/05/2024 09:45:00,30/04/2024,Aggregate LNG Importations - Daily Flow,11.63849,18/05/2024 11:00:00,
