Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
16/07/2024 09:45:00,01/06/2024,Aggregate LNG Importations - Daily Flow,5.0799,16/07/2024 11:00:00,
16/07/2024 09:45:00,02/06/2024,Aggregate LNG Importations - Daily Flow,5.0781,16/07/2024 11:00:00,
16/07/2024 09:45:00,03/06/2024,Aggregate LNG Importations - Daily Flow,6.6469,16/07/2024 11:00:00,
16/07/2024 09:45:00,04/06/2024,Aggregate LNG Importations - Daily Flow,6.6621,16/07/2024 11:00:00,
16/07/2024 09:45:00,05/06/2024,Aggregate LNG Importations - Daily Flow,6.6328,16/07/2024 11:00:00,
16/07/2024 09:45:00,06/06/2024,Aggregate LNG Importations - Daily Flow,5.27618,16/07/2024 11:00:00,
16/07/2024 09:45:00,07/06/2024,Aggregate LNG Importations - Daily Flow,5.076,16/07/2024 11:00:00,
16/07/2024 09:45:00,08/06/2024,Aggregate LNG Importations - Daily Flow,5.0713,16/07/2024 11:00:00,
16/07/2024 09:45:00,09/06/2024,Aggregate LNG Importations - Daily Flow,5.0694,16/07/2024 11:00:00,
16/07/2024 09:45:00,10/06/2024,Aggregate LNG Importations - Daily Flow,5.0769,16/07/2024 11:00:00,
16/07/2024 09:45:00,11/06/2024,Aggregate LNG Importations - Daily Flow,5.07957,16/07/2024 11:00:00,
16/07/2024 09:45:00,12/06/2024,Aggregate LNG Importations - Daily Flow,5.0686,16/07/2024 11:00:00,
16/07/2024 09:45:00,13/06/2024,Aggregate LNG Importations - Daily Flow,5.077,16/07/2024 11:00:00,
16/07/2024 09:45:00,14/06/2024,Aggregate LNG Importations - Daily Flow,5.0705,16/07/2024 11:00:00,
16/07/2024 09:45:00,15/06/2024,Aggregate LNG Importations - Daily Flow,5.0702,16/07/2024 11:00:00,
16/07/2024 09:45:00,16/06/2024,Aggregate LNG Importations - Daily Flow,5.0732,16/07/2024 11:00:00,
16/07/2024 09:45:00,17/06/2024,Aggregate LNG Importations - Daily Flow,5.0754,16/07/2024 11:00:00,
