Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
18/12/2022 08:45:00,01/11/2022,Aggregate LNG Importations - Daily Flow,43.74405,18/12/2022 11:00:00,
18/12/2022 08:45:00,02/11/2022,Aggregate LNG Importations - Daily Flow,48.32049,18/12/2022 11:00:00,
18/12/2022 08:45:00,03/11/2022,Aggregate LNG Importations - Daily Flow,79.51402,18/12/2022 11:00:00,
18/12/2022 08:45:00,04/11/2022,Aggregate LNG Importations - Daily Flow,101.86065,18/12/2022 11:00:00,
18/12/2022 08:45:00,05/11/2022,Aggregate LNG Importations - Daily Flow,77.38448,18/12/2022 11:00:00,
18/12/2022 08:45:00,06/11/2022,Aggregate LNG Importations - Daily Flow,75.26451,18/12/2022 11:00:00,
18/12/2022 08:45:00,07/11/2022,Aggregate LNG Importations - Daily Flow,86.97917,18/12/2022 11:00:00,
18/12/2022 08:45:00,08/11/2022,Aggregate LNG Importations - Daily Flow,79.27357,18/12/2022 11:00:00,
18/12/2022 08:45:00,09/11/2022,Aggregate LNG Importations - Daily Flow,86.05947,18/12/2022 11:00:00,
18/12/2022 08:45:00,10/11/2022,Aggregate LNG Importations - Daily Flow,62.90164,18/12/2022 11:00:00,
18/12/2022 08:45:00,11/11/2022,Aggregate LNG Importations - Daily Flow,77.96163,18/12/2022 11:00:00,
18/12/2022 08:45:00,12/11/2022,Aggregate LNG Importations - Daily Flow,76.48265,18/12/2022 11:00:00,
18/12/2022 08:45:00,13/11/2022,Aggregate LNG Importations - Daily Flow,81.79916,18/12/2022 11:00:00,
18/12/2022 08:45:00,14/11/2022,Aggregate LNG Importations - Daily Flow,103.0015,18/12/2022 11:00:00,
18/12/2022 08:45:00,15/11/2022,Aggregate LNG Importations - Daily Flow,89.8081,18/12/2022 11:00:00,
18/12/2022 08:45:00,16/11/2022,Aggregate LNG Importations - Daily Flow,101.7642,18/12/2022 11:00:00,
18/12/2022 08:45:00,17/11/2022,Aggregate LNG Importations - Daily Flow,103.00989,18/12/2022 11:00:00,
18/12/2022 08:45:00,18/11/2022,Aggregate LNG Importations - Daily Flow,70.58549,18/12/2022 11:00:00,
18/12/2022 08:45:00,19/11/2022,Aggregate LNG Importations - Daily Flow,94.55835,18/12/2022 11:00:00,
18/12/2022 08:45:00,20/11/2022,Aggregate LNG Importations - Daily Flow,92.83777,18/12/2022 11:00:00,
18/12/2022 08:45:00,21/11/2022,Aggregate LNG Importations - Daily Flow,109.46953,18/12/2022 11:00:00,
18/12/2022 08:45:00,22/11/2022,Aggregate LNG Importations - Daily Flow,76.20825,18/12/2022 11:00:00,
18/12/2022 08:45:00,23/11/2022,Aggregate LNG Importations - Daily Flow,68.8528,18/12/2022 11:00:00,
18/12/2022 08:45:00,24/11/2022,Aggregate LNG Importations - Daily Flow,69.97757,18/12/2022 11:00:00,
18/12/2022 08:45:00,25/11/2022,Aggregate LNG Importations - Daily Flow,69.07407,18/12/2022 11:00:00,
18/12/2022 08:45:00,26/11/2022,Aggregate LNG Importations - Daily Flow,59.00681,18/12/2022 11:00:00,
18/12/2022 08:45:00,27/11/2022,Aggregate LNG Importations - Daily Flow,64.73603,18/12/2022 11:00:00,
18/12/2022 08:45:00,28/11/2022,Aggregate LNG Importations - Daily Flow,108.77815,18/12/2022 11:00:00,
18/12/2022 08:45:00,29/11/2022,Aggregate LNG Importations - Daily Flow,99.88709,18/12/2022 11:00:00,
18/12/2022 08:45:00,30/11/2022,Aggregate LNG Importations - Daily Flow,120.35373,18/12/2022 11:00:00,
18/12/2022 08:45:00,01/11/2022,Beach and IOG - Beach Delivery,207.14472,18/12/2022 10:00:00,
18/12/2022 08:45:00,02/11/2022,Beach and IOG - Beach Delivery,213.02864,18/12/2022 10:00:00,
18/12/2022 08:45:00,03/11/2022,Beach and IOG - Beach Delivery,254.45647,18/12/2022 10:00:00,
18/12/2022 08:45:00,04/11/2022,Beach and IOG - Beach Delivery,276.65227,18/12/2022 10:00:00,
18/12/2022 08:45:00,05/11/2022,Beach and IOG - Beach Delivery,243.974,18/12/2022 10:00:00,
18/12/2022 08:45:00,06/11/2022,Beach and IOG - Beach Delivery,238.00146,18/12/2022 10:00:00,
18/12/2022 08:45:00,07/11/2022,Beach and IOG - Beach Delivery,246.19331,18/12/2022 10:00:00,
18/12/2022 08:45:00,08/11/2022,Beach and IOG - Beach Delivery,239.16628,18/12/2022 10:00:00,
18/12/2022 08:45:00,09/11/2022,Beach and IOG - Beach Delivery,237.40269,18/12/2022 10:00:00,
18/12/2022 08:45:00,10/11/2022,Beach and IOG - Beach Delivery,227.86055,18/12/2022 10:00:00,
18/12/2022 08:45:00,11/11/2022,Beach and IOG - Beach Delivery,246.51868,18/12/2022 10:00:00,
18/12/2022 08:45:00,12/11/2022,Beach and IOG - Beach Delivery,250.76394,18/12/2022 10:00:00,
18/12/2022 08:45:00,13/11/2022,Beach and IOG - Beach Delivery,252.84741,18/12/2022 10:00:00,
18/12/2022 08:45:00,14/11/2022,Beach and IOG - Beach Delivery,256.47636,18/12/2022 10:00:00,
18/12/2022 08:45:00,15/11/2022,Beach and IOG - Beach Delivery,242.54642,18/12/2022 10:00:00,
18/12/2022 08:45:00,16/11/2022,Beach and IOG - Beach Delivery,258.62663,18/12/2022 10:00:00,
18/12/2022 08:45:00,17/11/2022,Beach and IOG - Beach Delivery,260.64301,18/12/2022 10:00:00,
18/12/2022 08:45:00,18/11/2022,Beach and IOG - Beach Delivery,241.10233,18/12/2022 10:00:00,
18/12/2022 08:45:00,19/11/2022,Beach and IOG - Beach Delivery,264.44147,18/12/2022 10:00:00,
18/12/2022 08:45:00,20/11/2022,Beach and IOG - Beach Delivery,259.73489,18/12/2022 10:00:00,
18/12/2022 08:45:00,21/11/2022,Beach and IOG - Beach Delivery,282.70065,18/12/2022 10:00:00,
18/12/2022 08:45:00,22/11/2022,Beach and IOG - Beach Delivery,245.89812,18/12/2022 10:00:00,
18/12/2022 08:45:00,23/11/2022,Beach and IOG - Beach Delivery,250.93581,18/12/2022 10:00:00,
18/12/2022 08:45:00,24/11/2022,Beach and IOG - Beach Delivery,239.88193,18/12/2022 10:00:00,
18/12/2022 08:45:00,25/11/2022,Beach and IOG - Beach Delivery,254.27268,18/12/2022 10:00:00,
18/12/2022 08:45:00,26/11/2022,Beach and IOG - Beach Delivery,237.51831,18/12/2022 10:00:00,
18/12/2022 08:45:00,27/11/2022,Beach and IOG - Beach Delivery,244.31673,18/12/2022 10:00:00,
18/12/2022 08:45:00,28/11/2022,Beach and IOG - Beach Delivery,283.65608,18/12/2022 10:00:00,
18/12/2022 08:45:00,29/11/2022,Beach and IOG - Beach Delivery,284.80575,18/12/2022 10:00:00,
18/12/2022 08:45:00,30/11/2022,Beach and IOG - Beach Delivery,313.15423,18/12/2022 10:00:00,
18/12/2022 08:45:00,01/11/2022,Beach and IOG - Daily Flow,207.14472,18/12/2022 10:00:00,
18/12/2022 08:45:00,02/11/2022,Beach and IOG - Daily Flow,213.02864,18/12/2022 10:00:00,
18/12/2022 08:45:00,03/11/2022,Beach and IOG - Daily Flow,254.45647,18/12/2022 10:00:00,
18/12/2022 08:45:00,04/11/2022,Beach and IOG - Daily Flow,276.65227,18/12/2022 10:00:00,
18/12/2022 08:45:00,05/11/2022,Beach and IOG - Daily Flow,243.974,18/12/2022 10:00:00,
18/12/2022 08:45:00,06/11/2022,Beach and IOG - Daily Flow,238.00146,18/12/2022 10:00:00,
18/12/2022 08:45:00,07/11/2022,Beach and IOG - Daily Flow,246.19331,18/12/2022 10:00:00,
18/12/2022 08:45:00,08/11/2022,Beach and IOG - Daily Flow,239.16628,18/12/2022 10:00:00,
18/12/2022 08:45:00,09/11/2022,Beach and IOG - Daily Flow,237.40269,18/12/2022 10:00:00,
18/12/2022 08:45:00,10/11/2022,Beach and IOG - Daily Flow,227.86055,18/12/2022 10:00:00,
18/12/2022 08:45:00,11/11/2022,Beach and IOG - Daily Flow,246.51868,18/12/2022 10:00:00,
18/12/2022 08:45:00,12/11/2022,Beach and IOG - Daily Flow,250.76394,18/12/2022 10:00:00,
18/12/2022 08:45:00,13/11/2022,Beach and IOG - Daily Flow,252.84741,18/12/2022 10:00:00,
18/12/2022 08:45:00,14/11/2022,Beach and IOG - Daily Flow,256.47636,18/12/2022 10:00:00,
18/12/2022 08:45:00,15/11/2022,Beach and IOG - Daily Flow,242.54642,18/12/2022 10:00:00,
18/12/2022 08:45:00,16/11/2022,Beach and IOG - Daily Flow,258.62663,18/12/2022 10:00:00,
18/12/2022 08:45:00,17/11/2022,Beach and IOG - Daily Flow,260.64301,18/12/2022 10:00:00,
18/12/2022 08:45:00,18/11/2022,Beach and IOG - Daily Flow,241.10233,18/12/2022 10:00:00,
18/12/2022 08:45:00,19/11/2022,Beach and IOG - Daily Flow,264.44147,18/12/2022 10:00:00,
18/12/2022 08:45:00,20/11/2022,Beach and IOG - Daily Flow,259.73489,18/12/2022 10:00:00,
18/12/2022 08:45:00,21/11/2022,Beach and IOG - Daily Flow,282.70065,18/12/2022 10:00:00,
18/12/2022 08:45:00,22/11/2022,Beach and IOG - Daily Flow,245.89812,18/12/2022 10:00:00,
18/12/2022 08:45:00,23/11/2022,Beach and IOG - Daily Flow,250.93581,18/12/2022 10:00:00,
18/12/2022 08:45:00,24/11/2022,Beach and IOG - Daily Flow,239.88193,18/12/2022 10:00:00,
18/12/2022 08:45:00,25/11/2022,Beach and IOG - Daily Flow,254.27268,18/12/2022 10:00:00,
18/12/2022 08:45:00,26/11/2022,Beach and IOG - Daily Flow,237.51831,18/12/2022 10:00:00,
18/12/2022 08:45:00,27/11/2022,Beach and IOG - Daily Flow,244.31673,18/12/2022 10:00:00,
18/12/2022 08:45:00,28/11/2022,Beach and IOG - Daily Flow,283.65608,18/12/2022 10:00:00,
18/12/2022 08:45:00,29/11/2022,Beach and IOG - Daily Flow,284.80575,18/12/2022 10:00:00,
18/12/2022 08:45:00,30/11/2022,Beach and IOG - Daily Flow,313.15423,18/12/2022 10:00:00,
18/12/2022 08:45:00,01/11/2022,Beach Including Norway - Daily Flow,170.88117,18/12/2022 11:00:00,
18/12/2022 08:45:00,02/11/2022,Beach Including Norway - Daily Flow,172.23645,18/12/2022 11:00:00,
18/12/2022 08:45:00,03/11/2022,Beach Including Norway - Daily Flow,181.13705,18/12/2022 11:00:00,
18/12/2022 08:45:00,04/11/2022,Beach Including Norway - Daily Flow,182.16232,18/12/2022 11:00:00,
18/12/2022 08:45:00,05/11/2022,Beach Including Norway - Daily Flow,174.10012,18/12/2022 11:00:00,
18/12/2022 08:45:00,06/11/2022,Beach Including Norway - Daily Flow,170.22275,18/12/2022 11:00:00,
18/12/2022 08:45:00,07/11/2022,Beach Including Norway - Daily Flow,166.63794,18/12/2022 11:00:00,
18/12/2022 08:45:00,08/11/2022,Beach Including Norway - Daily Flow,166.60941,18/12/2022 11:00:00,
18/12/2022 08:45:00,09/11/2022,Beach Including Norway - Daily Flow,152.87232,18/12/2022 11:00:00,
18/12/2022 08:45:00,10/11/2022,Beach Including Norway - Daily Flow,172.33581,18/12/2022 11:00:00,
